video_file,frame_name,cvat_frame_name,annotator,status,date_completed,bolls_visible,boll_id_tags,notes,sam2_hint_n_bolls,sam2_hint_ids
handheld_1,00001,handheld_1__00001.jpg,,not_started,,,,,12,"1,11,13,2,22,25,32,33,38,4,5,7"
handheld_1,00007,handheld_1__00007.jpg,,not_started,,,,,12,"1,11,13,2,22,25,32,33,38,4,5,7"
handheld_1,00015,handheld_1__00015.jpg,,not_started,,,,,13,"1,11,13,2,22,25,3,32,33,38,4,5,7"
handheld_1,00063,handheld_1__00063.jpg,,not_started,,,,,14,"11,13,2,22,25,3,32,33,34,36,38,4,5,7"
handheld_1,00071,handheld_1__00071.jpg,,not_started,,,,,14,"1,11,13,2,22,25,32,33,36,37,38,4,5,7"
handheld_1,00078,handheld_1__00078.jpg,,not_started,,,,,15,"1,11,13,2,22,25,32,33,34,36,37,38,4,5,7"
handheld_1,00084,handheld_1__00084.jpg,,not_started,,,,,13,"1,12,13,2,22,24,25,3,32,33,37,4,5"
handheld_1,00090,handheld_1__00090.jpg,,not_started,,,,,12,"1,12,13,2,22,24,25,32,33,37,4,5"
handheld_1,00096,handheld_1__00096.jpg,,not_started,,,,,12,"1,12,13,2,22,24,25,32,33,37,4,5"
handheld_1,00104,handheld_1__00104.jpg,,not_started,,,,,13,"1,11,12,13,2,22,24,25,32,33,37,4,5"
handheld_1,00120,handheld_1__00120.jpg,,not_started,,,,,13,"1,11,2,22,25,3,32,33,34,36,38,4,5"
handheld_1,00141,handheld_1__00141.jpg,,not_started,,,,,12,"13,2,22,24,25,3,32,33,36,38,4,5"
handheld_1,00148,handheld_1__00148.jpg,,not_started,,,,,12,"1,13,2,22,25,3,32,33,34,36,38,5"
handheld_1,00164,handheld_1__00164.jpg,,not_started,,,,,13,"11,13,2,24,25,3,32,33,34,37,38,4,7"
handheld_1,00183,handheld_1__00183.jpg,,not_started,,,,,12,"13,2,22,24,3,32,33,34,36,37,38,7"
handheld_1,00198,handheld_1__00198.jpg,,not_started,,,,,17,"1,11,12,13,2,22,25,3,32,33,34,36,37,38,4,5,7"
handheld_1,00204,handheld_1__00204.jpg,,not_started,,,,,16,"1,11,12,13,2,22,25,32,33,34,36,37,38,4,5,7"
handheld_1,00224,handheld_1__00224.jpg,,not_started,,,,,14,"1,11,13,22,24,25,32,33,34,36,37,38,4,5"
handheld_1,00247,handheld_1__00247.jpg,,not_started,,,,,15,"11,12,13,2,22,25,3,32,33,34,36,37,38,4,5"
handheld_1,00266,handheld_1__00266.jpg,,not_started,,,,,15,"1,11,13,2,22,24,3,32,33,34,36,37,38,4,7"
handheld_1,00282,handheld_1__00282.jpg,,not_started,,,,,15,"1,11,12,13,2,22,24,25,3,32,33,36,4,5,7"
